user_id,full_name,department,role,supervisor,avg_logon_hour,avg_logoff_hour,typical_work_days,avg_file_accesses_per_day,avg_http_requests_per_day,avg_email_count_per_day,usb_usage_frequency,baseline_start,baseline_end,total_alerts,high_risk_alerts,current_risk_level
NGF0157,Nissim Gil French,3 - FinancialPlanning,FinancialAnalyst,Libby Rosalyn Richard,5,17,"0,1,2,3,4,5,6",0.6956521739130435,90.0,8.91304347826087,0.3043478260869565,2025-12-02,2025-12-31,0,0,LOW
LRR0148,Libby Rosalyn Richard,3 - FinancialPlanning,Manager,Thomas Vladimir Stokes,6,15,"0,1,2,3,4,5,6",2.1666666666666665,137.04166666666666,13.041666666666666,2.083333333333333,2025-12-02,2025-12-31,0,0,LOW
IRM0931,Ignatius Reese Morton,2 - SoftwareManagement,ComputerProgrammer,Caleb Mason Ball,6,16,"0,1,2,3,4,5,6",4.896551724137931,95.0,8.96551724137931,1.0344827586206895,2025-12-02,2025-12-31,0,0,LOW
MOH0273,Macaulay Otto Hopkins,3 - Engineering,HardwareEngineer,Gage Kaden Odonnell,7,17,"0,1,2,3,4,5,6",23.16,95.0,8.24,7.92,2025-12-02,2025-12-31,0,0,LOW
LAP0338,Lynn Adena Pratt,3 - FieldService,Technician,Garrett Nicholas Solomon,7,18,"0,1,2,3,4,5,6",0.0,29.0,2.8,0.0,2025-12-02,2025-12-31,0,0,LOW
NOB0181,Nevada Odette Bass,3 - FieldService,Technician,Garrett Nicholas Solomon,7,18,"0,1,2,3,4,5,6",4.428571428571429,27.0,2.892857142857143,1.2142857142857142,2025-12-02,2025-12-31,0,0,LOW
MHH0180,Merrill Hiram Hess,3 - FieldService,Technician,Garrett Nicholas Solomon,7,18,"0,1,2,3,4,5",0.0,27.0,2.9130434782608696,0.0,2025-12-02,2025-12-31,0,0,LOW
AHC0142,Azalia Halee Cantu,4 - QualityControl,Engineer,Kimberley Kiona Sosa,7,17,"0,1,2,3,4,5,6",0.0,95.0,8.869565217391305,0.0,2025-12-02,2025-12-31,0,0,LOW
CTR0341,Cairo Theodore Robles,3 - FieldService,Technician,Garrett Nicholas Solomon,6,18,"0,1,2,3,4,5,6",0.0,29.0,3.0,0.0,2025-12-02,2025-12-31,0,0,LOW
NWK0215,Noelani Wynter Kennedy,6 - Security,SecurityGuard,Clinton Coby Wolfe,6,15,"0,1,2,3,4,5,6",0.0,143.0,11.703703703703704,0.0,2025-12-02,2025-12-31,0,0,LOW
ATE0869,Aquila Tanner Ellison,2 - Sales,Salesman,Hashim Damon Dudley,6,17,"0,1,2,3,4,5,6",2.1666666666666665,153.0,15.1,0.5333333333333333,2025-12-02,2025-12-31,0,0,LOW
HVB0037,Hollee Vanna Becker,6 - Security,SecurityGuard,Clinton Coby Wolfe,7,15,"0,1,2,3,4,5,6",0.0,143.0,13.869565217391305,0.0,2025-12-02,2025-12-31,0,0,LOW
JKJ0698,Jescie Kristen Jenkins,3 - Assembly,ProductionLineWorker,Alan Benjamin Holder,7,16,"0,1,2,3,4,5,6",0.0,10.0,1.0,0.0,2025-12-02,2025-12-31,0,0,LOW
AJR0319,Arthur Jacob Raymond,2 - Sales,Salesman,Meredith Ainsley Wolf,7,15,"0,1,2,3,4,5,6",0.0,162.0,14.407407407407408,0.0,2025-12-02,2025-12-31,0,0,LOW
ABC0174,Allegra Bree Coffey,2 - Sales,Salesman,Meredith Ainsley Wolf,7,15,"0,1,2,3,4,5,6",2.08,162.0,14.04,2.08,2025-12-02,2025-12-31,0,0,LOW
JCR0172,Jaquelyn Cassandra Roberson,2 - Sales,Salesman,Meredith Ainsley Wolf,7,15,"0,1,2,3,4,5,6",1.28,162.0,14.36,0.56,2025-12-02,2025-12-31,0,0,LOW
RRC0553,RRC0553,,,,7,17,"0,1,2,3,4,5,6",20.166666666666668,95.0,8.958333333333334,1.25,2025-12-02,2025-12-31,0,0,LOW
HAD0246,Holmes Arden Day,3 - Engineering,MechanicalEngineer,Harper Price Harris,6,16,"0,1,2,3,4,5,6",0.7333333333333333,95.0,10.0,0.4666666666666667,2025-12-02,2025-12-31,0,0,LOW
IKP0472,Ivana Kaitlin Parsons,3 - Assembly,ProductionLineWorker,Armando Albert Walter,7,17,"0,1,2,3,4,5,6",1.7333333333333334,9.0,1.0,1.0333333333333334,2025-12-02,2025-12-31,0,0,LOW
BRS0734,Burke Rooney Stafford,2 - Sales,Salesman,Lysandra Chastity Brennan,7,16,"0,1,2,3,4,5,6",17.56,162.0,13.56,1.4,2025-12-02,2025-12-31,0,0,LOW
HPH0075,Harper Price Harris,3 - Engineering,ChiefEngineer,Declan Lester Moss,7,16,"0,1,2,3,4,5,6",22.956521739130437,180.0,18.869565217391305,7.869565217391305,2025-12-02,2025-12-31,0,0,LOW
RZC0746,Robert Zeus Cox,2 - Sales,Salesman,Lysandra Chastity Brennan,7,16,"0,1,2,3,4,5,6",0.0,162.0,14.379310344827584,0.0,2025-12-02,2025-12-31,0,0,LOW
IIW0249,Igor Ishmael Ward,3 - Engineering,MechanicalEngineer,Harper Price Harris,6,15,"0,1,2,3,4,5,6",1.0833333333333333,91.04166666666669,8.583333333333334,8.333333333333334,2025-12-02,2025-12-31,0,0,LOW
